username, created_at, lng, lat, text
McGoosegoosexD, Mon Jan 25 05:39:31 +0000 2021, -119.710694, 39.574217, God the Madoka OP is SO FUCKING GOOD 
sorryimemo, Mon Jan 25 05:39:31 +0000 2021, -83.078589, 40.284123, Nope, micheal please don’t do this 
thegregaldridge, Mon Jan 25 05:39:31 +0000 2021, -98.716992, 35.309047, Dear @SenSchumer - from all of us loyal Dems “on the ground”, PKEASE do not give an INCH to @LeaderMcConnell. His c… https://t.co/IxTT6eg6xg 
holakells, Mon Jan 25 05:39:32 +0000 2021, -97.754724, 30.323346, who did this and are they okay 
Lutan46043305, Mon Jan 25 05:39:32 +0000 2021, -106.162898, 28.941866, @OliiPo @LauritasolePGo Gracias hermano se te agradece 
DuggusChrist, Mon Jan 25 05:39:32 +0000 2021, -73.831187, 40.670879, Nah. Cornell really tweeted things to make your s/o happy and folks lost their SHIT 😂😂😂😂😂😂😂 
my1nadia, Mon Jan 25 05:39:32 +0000 2021, -97.726600, 31.105600, Art of a Rose 🌹 is where it’s at 🥰🥰🥰 #homedecor #homesweethome #decor #interiordecorating #decorlife… https://t.co/JNoO6mg0Tb 
K3LENDRIA, Mon Jan 25 05:39:32 +0000 2021, -89.876449, 32.571032, @_LulHaitiBaby she still ain’t leaving. 🤣 
nataliebordeau1, Mon Jan 25 05:39:32 +0000 2021, -73.723025, 45.557830, Joyeuse lundi 😉 
angelgabriel015, Mon Jan 25 05:39:32 +0000 2021, -122.245830, 37.728013, Just posted a photo @ Peet's Coffee &amp; Tea Roasting Plant https://t.co/AES0hIuxgL 
Amir_Khamoosh, Mon Jan 25 05:39:32 +0000 2021, -79.272570, 43.629311, @Maryamfarsh خوشبختانه آیندهوون شلوغ شده نه آمستردام وگرنه من خیلی نگران Red Light District میشدم 
PrimoVinchenzo, Mon Jan 25 05:39:33 +0000 2021, -96.761753, 32.819858, When I wake up after a heavy night of drinking sometimes I just wanna yell and be like ok who THE FUCK over served me last night 
bb_king2014, Mon Jan 25 05:39:33 +0000 2021, -86.793917, 33.542237, SOON as you save their number...*delete contact* 😒 
tysmith_tattoos, Mon Jan 25 05:39:33 +0000 2021, -96.696562, 40.803235, @sugafree181 Well you fucking better, but like elaborate more on what it is..? 
JamieDHart, Mon Jan 25 05:39:33 +0000 2021, -89.017567, 42.257146, spiritually I'm leaving y'all stranded my own world over bussing 
paperSTACKING_, Mon Jan 25 05:39:34 +0000 2021, -119.827182, 39.512436, My birthday in 2 months 🙂 
CaliBearsFan, Mon Jan 25 05:39:34 +0000 2021, -119.306608, 37.269176, @79illwill https://t.co/4Wsm7k4lS7 
simplylyst, Mon Jan 25 05:39:34 +0000 2021, -98.245675, 26.240690, @itnotserg1 thank the heavens 😩 
your_device, Mon Jan 25 05:39:34 +0000 2021, -75.129500, 39.731300, New video. Snap some photos with #oneplusnordn10 https://t.co/RJGBgajW7i @ Pitman, New Jersey https://t.co/vKeEvXWlYq 
bengalralph, Mon Jan 25 05:39:34 +0000 2021, -82.663144, 28.218249, @DBrooks55 @WarrenSapp Thats ok, I'll pass, Carrollwood CC you show your true colors #55 
Goodi2shews, Mon Jan 25 05:39:34 +0000 2021, -100.076888, 31.168893, Or brother 
LeixTaexBTS, Mon Jan 25 05:39:34 +0000 2021, -97.285913, 32.779967, Can I please win a copy please raffle gods 🙏🏽 maybe even a signed one 🥺 https://t.co/rhky78X8e6 
bunnie56274335, Mon Jan 25 05:39:34 +0000 2021, -73.948775, 40.655138, @Strandjunker @freddyatton Because Democrats didn’t back him especially the woman senator from NYS Gillibrand insistence he resign 
CrossCanFiddle, Mon Jan 25 05:39:34 +0000 2021, -123.934998, 49.174535, Heck yeah. ✊🏼 https://t.co/C9p8bBDDU0 
jdouglaslittle, Mon Jan 25 05:39:35 +0000 2021, -123.123581, 49.257639, @ricskinner @onionissus @prageru It is socialism with Chinese characteristics as they call it. Still a big public s… https://t.co/3yXR8RXmh1 
KySandy, Mon Jan 25 05:39:35 +0000 2021, -82.672376, 38.452657, We must seek not to pass it to the next generation. 
TooSweettttt, Mon Jan 25 05:39:35 +0000 2021, -117.197082, 33.688047, Every week AOT just keeps getting crazier 😭 
territauber, Mon Jan 25 05:39:35 +0000 2021, -74.420015, 40.676505, @HawleyMO @nypost "We’d send our kids to schools that don’t teach all the woke stuff."Seriously?!? What schools are those?!? 
Ann91237283, Mon Jan 25 05:39:35 +0000 2021, -79.300889, 36.087839, Tonight a friend &amp; I did some social distancing &amp; watched #ChristnasEncocore. She at her home and I at mine. Neithe… https://t.co/GinKyM6r8C 
IAMGenoGreen, Mon Jan 25 05:39:35 +0000 2021, -87.732013, 41.833585, 🤣😁🤣 
dailina1974, Mon Jan 25 05:39:35 +0000 2021, -118.503259, 34.415631, @MysterySolvent Nice and peaceful 
switchflip4, Mon Jan 25 05:39:35 +0000 2021, -122.306264, 38.297072, @NotHoodlum Bankrupt x infinity 
siecember, Mon Jan 25 05:39:35 +0000 2021, -77.014398, 38.898603, whewww... 
yyancyy, Mon Jan 25 05:39:36 +0000 2021, -104.922093, 39.713563, it sucks having a broke bestie 
Adrian_Mtz07, Mon Jan 25 05:39:36 +0000 2021, -100.293591, 25.641718, Nunca estamos menos protegidos contra las desgracias que cuando amamos; nunca menos desdichados o desvalidos que cu… https://t.co/N9ZdfAjB94 
eas014, Mon Jan 25 05:39:36 +0000 2021, -118.346138, 33.914068, I love how they aren’t transparent about these studies though 😂 
barstoolWSD, Mon Jan 25 05:39:36 +0000 2021, -73.968542, 40.780709, About to pass out at Barstool HQ. Feel like that no matter what happens this week, I will have made some great frie… https://t.co/LG1p1jWvzW 
edotBrand, Mon Jan 25 05:39:36 +0000 2021, -85.768241, 37.822244, @EnesKanter GREAT JOB TONIGHT‼️ #BBN 💙 
Knickanators, Mon Jan 25 05:39:36 +0000 2021, -73.948775, 40.655138, @eepdllc @JeDiGoLLuM01 @TruePG718 @Ant4418 @StateNYKPOD @huttonk33 @IanChisolm @knicklifertim @YankeesKnicks99… https://t.co/ge6TA1blg6 
lcracing92, Mon Jan 25 05:39:36 +0000 2021, -119.306608, 37.269176, Felt this on a deep level. 
__knf, Mon Jan 25 05:39:36 +0000 2021, -90.158017, 32.230987, https://t.co/d9Z2z5uEO5 
